net,time
0.002978462,743
0.002981594,744
0.002986905,745
0.002989324,746
0.002992954,747
0.002994892,748
0.002997558,749
0.0029995,750
0.00300339,751
0.003006312,752
0.003009484,753
0.003011926,754
0.003013636,755
0.003017308,756
0.003020006,757
0.003023694,758
0.003025911,759
0.00302986,760
0.003033318,761
0.003034307,762
0.00303703,763
0.003038517,764
0.003041991,765
0.003044725,766
0.003047463,767
0.003050453,768
0.003053197,769
0.003056194,770
0.003058445,771
0.003060448,772
0.003063709,773
0.003066976,774
0.003069995,775
0.003074026,776
0.003078317,777
0.003080592,778
0.003084647,779
0.003086677,780
0.003089472,781
0.003093033,782
0.00309609,783
0.003098896,784
0.003100429,785
0.003101964,786
0.003103756,787
0.003107605,788
0.003110173,789
0.003113258,790
0.003115575,791
0.003118929,792
0.003120221,793
0.003120998,794
0.003123848,795
0.003127997,796
0.003130075,797
0.003132935,798
0.003135018,799
0.003138929,800
0.00314128,801
0.003143896,802
0.0031473,803
0.00314992,804
0.003152545,805
0.003154909,806
0.003156488,807
0.00315807,808
0.003160972,809
0.003163084,810
0.003164932,811
0.003167048,812
0.003170226,813
0.003172083,814
0.00317341,815
0.003176333,816
0.003178194,817
0.003181653,818
0.003184584,819
0.003186185,820
0.003188587,821
0.003191528,822
0.003195812,823
0.003198761,824
0.003201714,825
0.003204671,826
0.003206018,827
0.003207634,828
0.003208711,829
0.003211677,830
0.003214106,831
0.003215996,832
0.003218968,833
0.003221674,834
0.00322357,835
0.003224927,836
0.003227917,837
0.003231454,838
0.003233906,839
0.00323636,840
0.003239363,841
0.003241823,842
0.003244561,843
0.003247303,844
0.003250048,845
0.003253346,846
0.003255548,847
0.003261062,848
0.003263548,849
0.003267144,850
0.003270746,851
0.003273519,852
0.003276573,853
0.003278518,854
0.003281858,855
0.00328548,856
0.003287991,857
0.003292463,858
0.003296101,859
0.003299183,860
0.003301146,861
0.003303392,862
0.00330564,863
0.003308174,864
0.00331269,865
0.003314951,866
0.003316364,867
0.003320044,868
0.00332401,869
0.003325711,870
0.003329685,871
0.003332811,872
0.003337078,873
0.003338501,874
0.003341068,875
0.003343636,876
0.003346494,877
0.003348211,878
0.003349071,879
0.003351651,880
0.003355382,881
0.003357106,882
0.003359983,883
0.003362864,884
0.003365173,885
0.003368352,886
0.003371533,887
0.003374428,888
0.003375877,889
0.003378487,890
0.00338052,891
0.003381392,892
0.00338401,893
0.003387213,894
0.003390712,895
0.003391296,896
0.003393341,897
0.003395974,898
0.003399783,899
0.003401836,900
0.003404184,901
0.003407122,902
0.00340977,903
0.003413011,904
0.003415667,905
0.003418625,906
0.003421291,907
0.00342396,908
0.003426926,909
0.003430492,910
0.003433468,911
0.003435854,912
0.003437048,913
0.003438543,914
0.003441835,915
0.003444231,916
0.003448431,917
0.003451438,918
0.003454148,919
0.003459575,920
0.003461388,921
0.003463504,922
0.003466529,923
0.003469254,924
0.003470467,925
0.003471984,926
0.003473807,927
0.003475936,928
0.003479284,929
0.003480503,930
0.003483858,931
0.003486609,932
0.003489056,933
0.003492119,934
0.003494572,935
0.00349672,936
0.003499177,937
0.003502253,938
0.003505025,939
0.003507491,940
0.003508725,941
0.00351058,942
0.003513054,943
0.00351522,944
0.003518319,945
0.0035208,946
0.003523596,947
0.003525152,948
0.003527958,949
0.003530141,950
0.003532326,951
0.003536391,952
0.003538585,953
0.003541409,954
0.003542979,955
0.00354455,956
0.003546751,957
0.003550844,958
0.003553996,959
0.003554943,960
0.00355747,961
0.003558736,962
0.003561906,963
0.003563175,964
0.003565396,965
0.003566667,966
0.003570167,967
0.003572715,968
0.003575905,969
0.003578139,970
0.003581973,971
0.003583891,972
0.003585811,973
0.003587092,974
0.003589657,975
0.003592224,976
0.003596081,977
0.003596724,978
0.003598975,979
0.003601551,980
0.003603808,981
0.003606068,982
0.003608331,983
0.003610599,984
0.003613194,985
0.003615793,986
0.003619045,987
0.003620347,988
0.00362165,989
0.003624261,990
0.003627203,991
0.00362982,992
0.003631785,993
0.003633423,994
0.003635064,995
0.003637035,996
0.003639996,997
0.003642633,998
0.003644281,999
0.003648903,1000
0.003651217,1001
0.003652211,1002
0.003653869,1003
0.003656193,1004
0.003658188,1005
0.003661182,1006
0.003663511,1007
0.003665845,1008
0.003666179,1009
0.00366785,1010
0.003669857,1011
0.003672538,1012
0.003672873,1013
0.003675558,1014
0.003677911,1015
0.003680939,1016
0.003682961,1017
0.003684648,1018
0.003685662,1019
0.003687691,1020
0.003689722,1021
0.003691077,1022
0.00369447,1023
0.003695149,1024
0.003696509,1025
0.003698893,1026
0.003700596,1027
0.003703665,1028
0.003706395,1029
0.003707762,1030
0.003709472,1031
0.003711185,1032
0.003715646,1033
0.00371805,1034
0.003719425,1035
0.003720801,1036
0.003722522,1037
0.003725968,1038
0.003728728,1039
0.003730455,1040
0.003731837,1041
0.003735641,1042
0.003737719,1043
0.00374084,1044
0.003742576,1045
0.003743619,1046
0.003743967,1047
0.003746404,1048
0.003748493,1049
0.003750234,1050
0.003751977,1051
0.003756513,1052
0.003758959,1053
0.003762107,1054
0.003764908,1055
0.003767362,1056
0.00376982,1057
0.003773335,1058
0.003775448,1059
0.003778268,1060
0.003781445,1061
