time,net
1152,0.005087647
1153,0.005090256
1154,0.0050913
1155,0.005094433
1156,0.005096
1157,0.005098613
1158,0.005101228
1159,0.005103844
1160,0.005108033
1161,0.005110128
1162,0.005112748
1163,0.005114844
1164,0.005115892
1165,0.005117989
1166,0.005120611
1167,0.005123234
1168,0.005124809
1169,0.005128486
1170,0.005129536
1171,0.005132163
1172,0.005135843
1173,0.00513742
1174,0.005138998
1175,0.005141103
1176,0.005143209
1177,0.005144788
1178,0.005146895
1179,0.005149528
1180,0.005151635
1181,0.005153216
1182,0.005156378
1183,0.005159541
1184,0.005160596
1185,0.005162706
1186,0.005164289
1187,0.005166401
1188,0.005167985
1189,0.005171157
1190,0.005172743
1191,0.005174858
1192,0.005175387
1193,0.005178032
1194,0.00517962
1195,0.005182267
1196,0.005185976
1197,0.005188096
1198,0.005190217
1199,0.005192868
1200,0.005195521
1201,0.005197644
1202,0.005200299
1203,0.005202425
1204,0.005203488
1205,0.005205084
1206,0.005207211
1207,0.005208807
1208,0.005209871
1209,0.005212532
1210,0.005213065
1211,0.00521413
1212,0.00521626
1213,0.005217858
1214,0.005220521
1215,0.005223719
1216,0.005227451
1217,0.005230652
1218,0.005231719
1219,0.005233321
1220,0.005233854
1221,0.005234922
1222,0.005237593
1223,0.005240799
1224,0.005243472
1225,0.005244542
1226,0.005245612
1227,0.005246147
1228,0.005247752
1229,0.005251499
1230,0.005254712
1231,0.005258461
1232,0.005260069
1233,0.005260069
1234,0.005263287
1235,0.005263823
1236,0.00526597
1237,0.005268653
1238,0.005271337
1239,0.005272411
1240,0.005273485
1241,0.005274559
1242,0.005276708
1243,0.00527832
1244,0.005281547
1245,0.005284775
1246,0.005286391
1247,0.005288546
1248,0.005290701
1249,0.005291779
1250,0.005293397
1251,0.005294475
1252,0.005296632
1253,0.005297711
1254,0.00529987
1255,0.005301489
1256,0.005302569
1257,0.005304729
1258,0.005305269
1259,0.00530797
1260,0.005310672
1261,0.005313916
1262,0.005315539
1263,0.005316079
1264,0.005318784
1265,0.005320949
1266,0.00532149
1267,0.005322572
1268,0.005324738
1269,0.005325821
1270,0.005327445
