time,cif
1714,0.006458121
1716,0.006459135
1717,0.006461669
1718,0.006462683
1719,0.006464204
1720,0.006465726
1721,0.006467754
1722,0.006468769
1723,0.00647029
1724,0.006472827
1726,0.006473841
1727,0.006475363
1728,0.006475871
1729,0.006476378
1730,0.006477393
1731,0.006478916
1732,0.006479424
1733,0.006479932
1734,0.006480947
1735,0.006481455
1736,0.006481963
1738,0.006482471
1740,0.006483487
1741,0.006483995
1742,0.006485518
1743,0.006487043
1744,0.006488059
1745,0.006489075
1746,0.006489584
1747,0.006490092
1749,0.006491108
1750,0.006491617
1751,0.00649365
1752,0.006496192
1753,0.006497717
1754,0.006498735
1755,0.006499243
1756,0.006499752
1757,0.006501279
1759,0.006502806
1760,0.006504333
1761,0.006505351
1762,0.006508405
1764,0.006510442
1765,0.006510951
1766,0.006511461
1767,0.00651197
1768,0.006512989
1769,0.006514517
1770,0.006515027
1771,0.006516046
1772,0.006517575
1773,0.006518594
1774,0.006519103
1776,0.006519613
1777,0.006521651
1778,0.006522161
1779,0.006523181
1781,0.006524711
1783,0.006525221
1784,0.00652675
1785,0.0065293
1786,0.006529811
1787,0.006531341
1788,0.006531851
1789,0.006532362
1791,0.006534913
1792,0.006535424
1793,0.006536445
1794,0.006538487
1796,0.006538998
1797,0.006539508
1798,0.006540019
1799,0.006541551
1800,0.006542573
1801,0.006545127
1802,0.006545638
1803,0.006547682
1804,0.006548192
1805,0.006549214
1806,0.006550747
1807,0.006552281
1808,0.006552792
1809,0.006554326
1811,0.006555349
1812,0.006556884
1814,0.006557907
1815,0.006558419
1816,0.006560465
1817,0.006562001
1818,0.006563536
1819,0.006565072
1820,0.006566096
1821,0.00656712
1822,0.006568145
1823,0.00656917
1824,0.006569682
1825,0.006570195
